ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado,Antigüedad en días al momento del stro,Codigo de Productor
38523,L,2,209,CASI,NO,NO,1,PF,ARGENTINA,Masculino,50,130,706,82821
29522,L,3,225,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,32,249,655,9670
32548,G,2,229,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,45,130,901,83232
45059,L,2,209,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,67,110,1388,9138
41767,A,3,220,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,30,51,1082,7464
27397,L,2,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,25,660,6621
61984,R,4,216,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,52,130,2181,10531
42488,L,2,218,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,62,249,1198,7386
39997,G,2,220,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,76,221,1111,11237
49313,R,8,239,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,74,107,1595,8101
62831,R,5,216,PARAMETROS,NO,NO,1,PF,ARGENTINA,Femenino,32,222,2199,84155
45516,G,2,229,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,130,1344,11021
62817,A,4,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,45,221,2168,89723
46701,R,4,216,CESVI,SI,SI,0,PF,ARGENTINA,Masculino,41,130,1471,86702
46587,T,5,201,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,44,228,1447,85110
41195,A,3,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,130,1197,7405
49042,A,4,205,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,34,91,1556,87158
26381,G,2,205,ANALISIS,SI,NO,0,PF,ARGENTINA,Femenino,42,130,507,84562
30526,A,4,205,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,42,100,762,84220
58502,B,4,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,30,130,1835,89503
26373,A,3,338,ANALISIS,SI,NO,1,PF,ARGENTINA,Masculino,35,226,536,83600
42087,I,3,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,56,228,634,84139
32760,M,2,201,CASI,NO,NO,1,PF,EXTRANJERO,Masculino,48,221,528,84539
32762,M,2,201,CASI,NO,NO,1,PF,EXTRANJERO,Masculino,48,221,528,84539
32910,R,5,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,26,130,900,9053
34519,L,2,218,CESVI,SI,NO,1,PF,EXTRANJERO,Masculino,38,221,980,83773
58666,A,4,201,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,42,110,1828,83839
52628,G,2,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,59,221,1610,83554
49317,I,3,230,ANALISIS,NO,SI,0,PF,EXTRANJERO,Masculino,41,221,1510,11693
49318,A,3,230,ANALISIS,NO,SI,0,PF,EXTRANJERO,Masculino,41,221,1510,11693
47748,A,4,216,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,32,221,1458,82823
30002,R,5,201,PARAMETROS,NO,SI,0,PF,EXTRANJERO,Masculino,48,234,741,85204
63021,A,4,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,76,223,2127,11008
27824,L,2,206,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,67,234,612,9348
28847,G,3,205,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,54,221,546,6794
29791,I,3,205,CASI,NO,NO,0,PF,ARGENTINA,Masculino,38,0,578,11690
48142,G,2,205,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,33,0,1127,11690
35311,R,5,206,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,50,221,949,86048
38435,L,2,209,CASI,NO,NO,0,PF,ARGENTINA,Femenino,44,221,584,7906
52623,R,5,241,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,61,2,1653,85176
33415,L,2,216,CESVI,SI,SI,0,PF,ARGENTINA,Masculino,70,218,876,8072
30517,M,2,206,CASI,NO,NO,0,PF,ARGENTINA,Masculino,78,214,586,85306
26134,A,4,225,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,27,222,498,84305
30545,L,2,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,44,221,661,85306
58943,A,3,205,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,50,221,1250,85306
43176,G,2,206,CONTACTO,NO,NO,1,PF,ARGENTINA,Masculino,65,221,974,85306
37893,R,5,205,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,63,228,1037,85306
29161,R,5,205,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,36,130,662,11690
62331,R,5,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,27,130,2036,84582
34522,L,2,209,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,64,221,850,7841
39141,R,5,216,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,56,218,1055,82944
47269,I,3,345,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,60,221,1304,4500034
29241,L,3,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,31,221,492,8407
59864,C,4,231,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,44,221,1832,83333
27385,R,5,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,32,238,510,6243
26432,R,5,230,CASI,NO,SI,0,PF,ARGENTINA,Masculino,39,15,426,82904
34467,R,5,201,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,76,210,833,86665
32800,R,5,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,37,251,737,86907
27532,L,2,209,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,65,221,425,7734
52934,T,7,220,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,221,1584,85713
