ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado
45971,R,5,230,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,76,2
58207,A,3,234,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,70,238
49902,L,2,247,ANALISIS,NO,NO,0,PJ,N/A,N/A,,226
49901,L,2,247,ANALISIS,NO,NO,0,PJ,N/A,N/A,,226
34953,R,5,229,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,148
29820,L,2,302,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,62,33
61305,A,8,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,35,221
29539,G,2,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,84,240
26280,T,4,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,57,239
38517,G,2,225,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,31,221
34486,R,5,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,2
63712,A,4,230,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,50,130
63800,A,3,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,84,226
46572,A,8,209,ANALISIS,NO,NO,1,PJ,N/A,N/A,,238
31008,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,63,226
40140,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,71,130
50383,A,4,230,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,41,130
47700,A,3,205,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,45,25
62772,A,4,242,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,48,130
52944,G,2,231,ANALISIS,NO,SI,0,PF,ARGENTINA,Femenino,35,238
61440,R,5,101,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,65,14
30473,T,1,216,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,99,234
45138,A,3,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,42,226
29127,R,5,220,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,52,23
59900,I,3,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,37,14
34873,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,37,14
26316,L,2,205,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,41,221
60909,A,4,216,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,,221
36056,G,2,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,65,130
59137,A,4,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,57,130
34269,R,5,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,53,221
58907,A,4,246,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,59,0
27002,A,4,216,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,,130
38523,L,2,209,CASI,NO,NO,1,PF,ARGENTINA,Masculino,50,130
29522,L,3,225,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,32,249
32548,G,2,229,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,45,130
45731,R,5,230,ANALISIS,NO,SI,0,PJ,N/A,N/A,,35
30514,A,3,231,ANALISIS,SI,SI,0,PJ,N/A,N/A,,213
27707,G,3,231,ANALISIS,NO,SI,0,PJ,N/A,N/A,,213
29528,L,3,231,ANALISIS,NO,SI,0,PJ,N/A,N/A,,213
26590,R,5,231,CESVI,SI,SI,0,PJ,N/A,N/A,,213
34538,L,2,205,PARAMETROS,NO,SI,1,PJ,ARGENTINA,Masculino,42,228
45059,L,2,209,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,67,110
41767,A,3,220,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,30,51
27182,R,5,216,ANALISIS,NO,NO,0,PJ,ARGENTINA,Femenino,59,212
27397,L,2,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,25
25411,R,5,201,ANALISIS,NO,NO,0,PJ,N/A,N/A,,3
61984,R,4,216,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,52,130
58205,A,8,239,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,17
42488,L,2,218,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,62,249
30184,R,5,230,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,48,242
39997,G,2,220,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,76,221
49313,R,8,239,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,74,107
62831,R,5,216,PARAMETROS,NO,NO,1,PF,ARGENTINA,Femenino,32,222
32300,R,4,231,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Femenino,86,238
